Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Tamie Wilson,Female,Black,White,,No,No,Ohio,05-03-2022,Representative,4,"10,804",52%,,,
Martin Heberling III,Male,White,,,No,No,Ohio,05-03-2022,Representative,5,"11,812",45%,,,
Craig Swartz,Male,White,,,No,No,Ohio,05-03-2022,Representative,5,"14,590",55%,,,
Martin Alexander,Male,Black,,,No,No,Ohio,05-03-2022,Representative,6,"5,359",24%,,,
Eric S. Jones,Male,White,,,No,No,Ohio,05-03-2022,Representative,6,"7,496",34%,,,
Louis G. Lyras,Male,White,,,No,No,Ohio,05-03-2022,Representative,6,"9,056",41%,,,
Matthew Diemer,Male,White,Black,,No,No,Ohio,05-03-2022,Representative,7,"12,636",63%,,,
Tristan Rader,Male,White,,,No,No,Ohio,05-03-2022,Representative,7,"7,500",37%,,,
Vanessa Enoch,Female,Black,,,No,No,Ohio,05-03-2022,Representative,8,"18,290",100%,,,
Marcy Kaptur,Female,White,,,Yes,No,Ohio,05-03-2022,Representative,9,"32,968",100%,,,
Kirk Benjamin,Male,Unknown,,,No,No,Ohio,05-03-2022,Representative,10,"5,760",17%,,,
David Esrati,Male,White,,,No,No,Ohio,05-03-2022,Representative,10,"10,473",31%,,,
Jeff Hardenbrook,Male,White ,,,No,No,Ohio,05-03-2022,Representative,10,"8,633",26%,,,
Baxter Stapleton,Male,White,,,No,No,Ohio,05-03-2022,Representative,10,"8,529",26%,,,
Shontel Brown,Female,Black,,,Yes,No,Ohio,05-03-2022,Representative,11,"44,841",66%,,,
Nina Turner,Female,Black,,,No,Yes,Ohio,05-03-2022,Representative,11,"22,830",34%,,,
Michael Fletcher,Male,White,,,No,No,Ohio,05-03-2022,Representative,12,"9,717",43%,,,
Amy Rippel-Elton,Female,White,,,No,No,Ohio,05-03-2022,Representative,12,"12,712",57%,,,
Emilia Sykes,Female,Black,,,No,No,Ohio,05-03-2022,Representative,13,"36,245",100%,,,
Matt Kilboy,Male,White,,,No,No,Ohio,05-03-2022,Representative,14,"34,499",100%,,,
Gary Josephson,Male,Unknown,,,No,No,Ohio,05-03-2022,Representative,15,"9,030",100%,,,
John Cranley,Male,White,,,No,No,Ohio,05-03-2022,Governor,N/A,"1,78,132",35%,,,
Nan Whaley,Female,White,,,No,No,Ohio,05-03-2022,Governor,N/A,"3,31,014",65%,,,
Lacy Watson,Male,Black,,,No,No,West Virginia,05-10-2022,Representative,1,"32,686",100%,,,
Angela J. Dwyer,Female,Black,,,No,No,West Virginia,05-10-2022,Representative,2,"16,653",43%,,,
Barry Lee Wendell,Male,White,,,No,No,West Virginia,05-10-2022,Representative,2,"22,139",57%,,,
Patty Pansing Brooks,Female,White,,,No,No,Nebraska,05-10-2022,Representative,1,"31,808",87%,,,
Jazari Kual Zakaria,Male,Black,,,No,No,Nebraska,05-10-2022,Representative,1,"4,944",13%,,,
Alisha Shelton,Female,Black,,,No,No,Nebraska,05-10-2022,Representative,2,"14,585",31%,,,
