Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Suzan DelBene,Female,White,,,Yes,No,Washington,08-02-2022,Representative,1,"1,02,857",100%,,,
Jason Call,Male,White,,,No,Yes,Washington,08-02-2022,Representative,2,"31,991",24%,,,
Rick Larsen,Male,White,,,Yes,No,Washington,08-02-2022,Representative,2,"1,00,631",76%,,,
Marie Gluesenkamp Perez,Female,White,Latino (Mexican),,No,No,Washington,08-02-2022,Representative,3,"68,190",93%,,,
Davy Ray,Male,White,,,No,No,Washington,08-02-2022,Representative,3,"4,870",7%,,,
Doug White,Male,White,,,No,No,Washington,08-02-2022,Representative,4,"37,760",100%,,,
Natasha Hill,Female,Black,,,No,No,Washington,08-02-2022,Representative,5,"61,851",75%,,,
Ann Marie Danimus,Female,White,,,No,No,Washington,08-02-2022,Representative,5,"21,123",25%,,,
Rebecca Parson,Female,White,,,No,Yes,Washington,08-02-2022,Representative,6,"21,523",16%,,,
Derek Kilmer,Male,White,,,Yes,No,Washington,08-02-2022,Representative,6,"1,15,725",84%,,,
Pramila Jayapal,Female,Asian (Indian),,,Yes,No,Washington,08-02-2022,Representative,7,"1,77,665",100%,,,
Emet Ward,Male,White,,,No,Yes,Washington,08-02-2022,Representative,8,"1,832",2%,,,
Kim Schrier,Female,White,,,Yes,No,Washington,08-02-2022,Representative,8,"97,700",97%,,,
Keith Arnold,Male,Black,,,No,Yes,Washington,08-02-2022,Representative,8,"1,669",2%,,,
Adam Smith,Male,White,,,Yes,No,Washington,08-02-2022,Representative,9,"78,272",78%,,,
Stephanie Gallardo,Female,Latino (Chilean),,,No,Yes,Washington,08-02-2022,Representative,9,"22,531",22%,,,
Marilyn Strickland,Female,Black,,,Yes,No,Washington,08-02-2022,Representative,10,"90,093",96%,,,
Eric Mahaffy,Male,White,,,No,Yes,Washington,08-02-2022,Representative,10,"3,710",4%,,,
Cameron Parsons,Male,White,,,No,No,Tennessee,08-04-2022,Representative,1,"6,099",100%,,,
Mark Harmon,Male,White,,,No,No,Tennessee,08-04-2022,Representative,2,"24,879",100%,,,
Meg Gorman,Female,White,,,No,No,Tennessee,08-04-2022,Representative,3,"22,208",100%,,,
Wayne Steele,Male,White,,,No,No,Tennessee,08-04-2022,Representative,4,"11,168",65%,,,
Arnold J. White,Male,White,,,No,No,Tennessee,08-04-2022,Representative,4,"5,994",35%,,,
Heidi Campbell,Female,White,,,No,No,Tennessee,08-04-2022,Representative,5,"30,830",100%,,,
Randal Cooper,Male,White,,,No,No,Tennessee,08-04-2022,Representative,6,"17,332",75%,,,
Clay Faircloth,Male,White,,,No,No,Tennessee,08-04-2022,Representative,6,"5,870",25%,,,
Odessa Kelly,Female,Black,,,No,No,Tennessee,08-04-2022,Representative,7,"24,854",100%,,,
Tim McDonald,Male,White,,,No,No,Tennessee,08-04-2022,Representative,8,"9,187",37%,,,
Lynnette P. Williams,Female,Black,,,No,No,Tennessee,08-04-2022,Representative,8,"15,819",63%,,,
M. Latroy Alexandria-Williams,Male,Black,,,No,Yes,Tennessee,08-04-2022,Representative,9,"8,449",12%,,,
Steve Cohen,Male,White,,,Yes,No,Tennessee,08-04-2022,Representative,9,"62,055",88%,,,
Carnita Faye Atwater,Female,Black,,,No,No,Tennessee,08-04-2022,Governor,N/A,"56,227",22%,,,
Jason Brantley Martin,Male,White,,,No,No,Tennessee,08-04-2022,Governor,N/A,"1,01,552",39%,,,
JB Smiley Jr.,Male,Black,,,No,No,Tennessee,08-04-2022,Governor,N/A,"1,00,063",39%,,,
Richard Blumenthal,Male,White,,,Yes,No,Connecticut,08-09-2022,Senator,N/A,1,100%,,,
John B. Larson,Male,White,,,Yes,No,Connecticut,08-09-2022,Representative,1,1,100%,,,
Joe Courtney,Male,White,,,Yes,No,Connecticut,08-09-2022,Representative,2,1,100%,,,
Rosa L. DeLauro,Female,White,,,Yes,No,Connecticut,08-09-2022,Representative,3,1,100%,,,
Jim Himes,Male,White,,,Yes,No,Connecticut,08-09-2022,Representative,4,1,100%,,,
Jahana Hayes,Female,Black,,,Yes,No,Connecticut,08-09-2022,Representative,5,1,100%,,,
Edward Lamont,Male,White,,,Yes,No,Connecticut,08-09-2022,Governor,N/A,1,100%,,,
Jeff Ettinger,Male,White,,,No,No,Minnesota,08-09-2022,Representative,1,"51,391",92%,,,
George H. Kalberer,Male,White,,,No,No,Minnesota,08-09-2022,Representative,1,"1,266",2%,,,
James Rainwater,Male,White,,,No,No,Minnesota,08-09-2022,Representative,1,"3,115",6%,,,
Angie Craig,Female,White,,,Yes,No,Minnesota,08-09-2022,Representative,2,1,100%,,,
Dean Phillips,Male,White,,,Yes,No,Minnesota,08-09-2022,Representative,3,1,100%,,,
Amane Badhasso,Female,Black (Ethiopian),,,No,Yes,Minnesota,08-09-2022,Representative,4,"10,557",15%,,,
Betty McCollum,Female,White,,,Yes,No,Minnesota,08-09-2022,Representative,4,"58,043",83%,,,
Fasil Moghul,Male,Asian (Indian),,,No,Yes,Minnesota,08-09-2022,Representative,4,997,1%,,,
AJ Kern,Female,White,,,No,Yes,Minnesota,08-09-2022,Representative,5,519,0%,,,
Ilhan Omar,Female,Black (Somali),,,Yes,No,Minnesota,08-09-2022,Representative,5,"57,683",50%,,,
Albert Ross,Male,Black,,,No,Yes,Minnesota,08-09-2022,Representative,5,477,0%,,,
Don Samuels,Male,Black (Jamaican),,,No,Yes,Minnesota,08-09-2022,Representative,5,"55,217",48%,,,
Nate Schluter,Male,White,,,No,Yes,Minnesota,08-09-2022,Representative,5,671,1%,,,
Jeanne Hendricks,Female,White,,,No,No,Minnesota,08-09-2022,Representative,6,1,100%,,,
Jill Abahsain,Female,White,,,No,No,Minnesota,08-09-2022,Representative,7,"14,352",59%,,,
Alycia R. Gruenhagen,Female,White,,,No,No,Minnesota,08-09-2022,Representative,7,"9,972",41%,,,
John Munter,Male,White,,,No,No,Minnesota,08-09-2022,Representative,8,"6,199",14%,,,
Jen Schultz,Female,White,,,No,No,Minnesota,08-09-2022,Representative,8,"38,545",86%,,,
Ole Savior,Male,White,,,No,Yes,Minnesota,08-09-2022,Governor,N/A,"14,950",3%,,,
Tim Walz,Male,White,,,Yes,No,Minnesota,08-09-2022,Governor,N/A,"4,16,973",97%,,,
Isaac Evans-Frantz,Male,White,,,No,No,Vermont,08-09-2022,Senator,N/A,"7,230",7%,,,
Niki Thran,Female,White,,,No,No,Vermont,08-09-2022,Senator,N/A,"5,104",5%,,,
Peter Welch,Male,White,,,No,No,Vermont,08-09-2022,Senator,N/A,"86,603",85%,,,
Becca Balint,Female,White,,,No,No,Vermont,08-09-2022,Representative,At-Large,"61,025",60%,,,
Sianay Chase Clifford,Female,Black (Liberian),,,No,No,Vermont,08-09-2022,Representative,At-Large,885,1%,,,
Molly Gray,Female,White,,,No,No,Vermont,08-09-2022,Representative,At-Large,"37,266",36%,,,
Louis Meyers,Male,White,,,No,No,Vermont,08-09-2022,Representative,At-Large,"1,593",2%,,,
Brenda Siegel,Female,White,,,No,No,Vermont,08-09-2022,Governor,N/A,"56,287",55%,,,
Mandela Barnes,Male,Black,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"3,90,279",78%,,,
Alex Lasry,Male,White,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"44,609",9%,,,
Kou C. Lee,Male,Asian (Laotian),,,No,No,Wisconsin,08-09-2022,Senator,N/A,"3,434",1%,,,
Sarah Godlewski,Female,White,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"40,555",8%,,,
Peter Peckarsky,Male,White,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"2,446",0%,,,
Steven Olikara,Male,Asian (Indian),,,No,No,Wisconsin,08-09-2022,Senator,N/A,"5,619",1%,,,
Darrell Williams,Male,Black,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"3,646",1%,,,
Tom Nelson,Male,White,,,No,No,Wisconsin,08-09-2022,Senator,N/A,"10,995",2%,,,
Ann Roe,Female,White,,,No,No,Wisconsin,08-09-2022,Representative,1,"48,148",100%,,,
Mark Pocan,Male,White,,,Yes,No,Wisconsin,08-09-2022,Representative,2,"1,06,595",100%,,,
Rebecca Cooke,Female,White,,,No,No,Wisconsin,08-09-2022,Representative,3,"19,221",31%,,,
Mark Neumann,Male,White,,,No,No,Wisconsin,08-09-2022,Representative,3,"6,672",11%,,,
Deb Baldus McGrath,Female,White,,,No,No,Wisconsin,08-09-2022,Representative,3,"11,770",19%,,,
Brad Pfaff,Male,White,,,No,No,Wisconsin,08-09-2022,Representative,3,"24,041",39%,,,
Gwen Moore,Female,Black,,,Yes,No,Wisconsin,08-09-2022,Representative,4,"72,845",100%,,,
Mike Van Someren,Male,White,,,No,No,Wisconsin,08-09-2022,Representative,5,"44,305",100%,,,
"Richard ""Dick"" Ausman",Male,White ,,,No,No,Wisconsin,08-09-2022,Representative,7,"43,265",100%,,,
Tony Evers,Male,White,,,Yes,No,Wisconsin,08-09-2022,Governor,N/A,"4,91,656",100%,,,
Brian Schatz,Male,White,,,Yes,No,Hawaii,8/13/22,Senator,N/A,"2,28,595",94%,,,
Steve Tataii,Male,White,,,No,Yes,Hawaii,8/13/22,Senator,N/A,"15,725",6%,,,
"Sergio ""Serg"" Alcubilla",Male,Asian (Filipino),,,No,Yes,Hawaii,8/13/22,Representative,1,"20,364",17%,,,
Ed Case,Male,White,,,Yes,No,Hawaii,8/13/22,Representative,1,"1,00,667",83%,,,
Patrick Pihana Branco,Male,Latino (Puerto Rican),Pacific Islander (Native Hawaiian),Asian (Filipino),No,No,Hawaii,8/13/22,Representative,2,"27,057",25%,,,
Nicole Gi,Female,Asian,,,No,No,Hawaii,8/13/22,Representative,2,"3,937",4%,,,
Brendan Schultz,Male,White,,,No,No,Hawaii,8/13/22,Representative,2,"6,115",6%,,,
Steven B. Sparks,Male,White,,,No,No,Hawaii,8/13/22,Representative,2,"2,137",2%,,,
Jill N. Tokuda,Female,Asian,,,No,No,Hawaii,8/13/22,Representative,2,"62,275",58%,,,
Kyle T. Yoshida,Male,Asian,,,No,No,Hawaii,8/13/22,Representative,2,"6,624",6%,,,
"David L. ""Duke"" Bourgoin ",Male,White,,,No,No,Hawaii,8/13/22,Governor,N/A,590,0%,,,
Vicky Cayetano,Female,Asian (Filipino),,,No,No,Hawaii,8/13/22,Governor,N/A,"52,447",21%,,,
Josh Green,Male,White,,,No,No,Hawaii,8/13/22,Governor,N/A,"1,58,161",63%,,,
Kai Kahele,Male,Pacific Islander (Native Hawaiian),,,No,No,Hawaii,8/13/22,Governor,N/A,"37,738",15%,,,
Richard Kim,Male,Asian (Korean),,,No,No,Hawaii,8/13/22,Governor,N/A,991,0%,,,
"Clyde McClain ""Mac"" Lewman",Male,White,,,No,No,Hawaii,8/13/22,Governor,N/A,249,0%,,,
Van K. Tanabe,Male,Asian,,,No,No,Hawaii,8/13/22,Governor,N/A,"1,236",0%,,,
Edgar Blatchford,Male,White,Native American (Yupik),,No,No,Alaska,8/16/22,Senator,N/A,"1,981",12%,,,
Patricia R. Chesbro,Female,White,,,No,No,Alaska,8/16/22,Senator,N/A,"12,989",77%,,,
Ivan R. Taylor,Male,White,,,No,No,Alaska,8/16/22,Senator,N/A,"1,897",11%,,,
Mary S. Peltola,Female,Native American (Yupik),,,No,No,Alaska,8/16/22,Representative,At-Large,"70,295",100%,,,
Les Gara,Male,Middle Eastern (Iraqi),,,No,No,Alaska,8/16/22,Governor,N/A,"43,660",100%,,,
Lynnette GreyBull,Female,Native American (Arapaho),,,No,No,Wyoming,8/16/22,Representative,At-Large,"4,507",59%,,,
Meghan R. Jensen,Female,White,,,No,No,Wyoming,8/16/22,Representative,At-Large,"1,833",24%,,,
Steve Helling,Male,White,,,No,No,Wyoming,8/16/22,Representative,At-Large,897,12%,,,
Rex Wilde,Male,White,,,No,No,Wyoming,8/16/22,Governor,N/A,"2,016",28%,,,
Theresa A. Livingston,Female,White,,,No,No,Wyoming,8/16/22,Governor,N/A,"4,993",69%,,,
Ricardo De La Fuente,Male,Latino,,,No,No,Florida,8/23/22,Senator,N/A,"56,749",4%,,,
Val Demings,Female,Black,,,No,No,Florida,8/23/22,Senator,N/A,"12,63,706",84%,,,
Brian Rush,Male,White,,,No,No,Florida,8/23/22,Senator,N/A,"94,185",6%,,,
William Sanchez,Male,Latino,,,No,No,Florida,8/23/22,Senator,N/A,"84,576",6%,,,
Rebekah Jones,Female,White,,,No,No,Florida,8/23/22,Representative,1,"21,875",63%,,,
Peggy Schiller,Female,White,,,No,No,Florida,8/23/22,Representative,1,"13,091",37%,,,
Al Lawson,Male,Black,,,Yes,No,Florida,8/23/22,Representative,2,1,100%,,,
Danielle Hawk,Female,White,,,No,No,Florida,8/23/22,Representative,3,"37,181",68%,,,
Tom Wells,Male,White,,,No,No,Florida,8/23/22,Representative,3,"17,799",32%,,,
"Anthony ""Tony"" Hill",Male,Black,,,No,No,Florida,8/23/22,Representative,4,"29,145",50%,,,
"LaShonda ""L.J."" Holloway",Female,Black,,,No,No,Florida,8/23/22,Representative,4,"29,352",50%,,,
"Hilsia ""Tatiana"" Fernandez",Female,Latino (Puerto Rican),,,No,No,Florida,8/23/22,Representative,7,"10,261",20%,,,
Karen Green,Female,Black,,,No,No,Florida,8/23/22,Representative,7,"23,051",45%,,,
Al Krulick,Male,White,,,No,No,Florida,8/23/22,Representative,7,"10,787",21%,,,
Allek Pastrana,Male,Latino (Puerto Rican),,,No,No,Florida,8/23/22,Representative,7,"7,289",14%,,,
Danelle Dodge,Female,White,,,No,No,Florida,8/23/22,Representative,8,"24,592",45%,,,
Joanne Terry,Female,White,,,No,No,Florida,8/23/22,Representative,8,"29,542",55%,,,
Darren Soto,Male,Latino (Puerto Rican),,,Yes,No,Florida,8/23/22,Representative,9,1,100%,,,
Jack Achenbach,Male,White,,,No,No,Florida,8/23/22,Representative,10,714,1%,,,
Jeffrey Boone,Male,Black,,,No,No,Florida,8/23/22,Representative,10,"1,181",2%,,,
Randolph Bracy,Male,Black,,,No,No,Florida,8/23/22,Representative,10,"13,677",25%,,,
Corrine Brown,Female,Black,,,No,No,Florida,8/23/22,Representative,10,"5,274",10%,,,
Maxwell Alejandro Frost,Male,Black,Latino (Cuban),,No,No,Florida,8/23/22,Representative,10,"19,288",35%,,,
Terence R. Gray,Male,Black,,,No,No,Florida,8/23/22,Representative,10,"1,032",2%,,,
Alan Grayson,Male,White,,,No,No,Florida,8/23/22,Representative,10,"8,526",15%,,,
Natalie Jackson,Female,Black,,,No,No,Florida,8/23/22,Representative,10,"3,872",7%,,,
Khalid Muneer,Male,Asian (Pakistani),,,No,No,Florida,8/23/22,Representative,10,604,1%,,,
Teresa Tachon,Female,White,,,No,No,Florida,8/23/22,Representative,10,"1,301",2%,,,
Shante Munns,Female,Black,,,No,No,Florida,8/23/22,Representative,11,1,100%,,,
Kimberly Walker,Female,Black,,,No,No,Florida,8/23/22,Representative,12,1,100%,,,
Eric Lynn,Male,White,,,No,No,Florida,8/23/22,Representative,13,1,100%,,,
Christopher Bradley,Male,White,,,No,Yes,Florida,8/23/22,Representative,14,"6,684",10%,,,
Kathy Castor,Female,White,,,Yes,No,Florida,8/23/22,Representative,14,"62,562",90%,,,
Gavin Brown,Male,White,,,No,No,Florida,8/23/22,Representative,15,"10,034",22%,,,
Alan M. Cohn,Male,White,,,No,No,Florida,8/23/22,Representative,15,"14,928",33%,,,
Eddie Geller,Male,White,,,No,No,Florida,8/23/22,Representative,15,"9,859",22%,,,
Cesar Ramirez,Male,Black,Latino,,No,No,Florida,8/23/22,Representative,15,"7,817",17%,,,
William VanHorn,Male,White,,,No,No,Florida,8/23/22,Representative,15,"2,435",5%,,,
Jan Schneider,Female,White,,,No,No,Florida,8/23/22,Representative,16,1,100%,,,
Andrea Doria Kale,Female,White,,,No,No,Florida,8/23/22,Representative,17,1,100%,,,
Cindy Banyai,Female,White,,,No,No,Florida,8/23/22,Representative,19,1,100%,,,
Sheila Cherfilus-McCormick,Female,Black (Haitian),,,Yes,No,Florida,8/23/22,Representative,20,"47,601",66%,,,
Dale V.C. Holness,Male,Black,,,No,Yes,Florida,8/23/22,Representative,20,"20,783",29%,,,
Anika Omphroy,Female,Black,,,No,Yes,Florida,8/23/22,Representative,20,"4,197",6%,,,
Corinna Balderramos Robinson,Female,White,Latino,,No,No,Florida,8/23/22,Representative,21,1,100%,,,
Lois Frankel,Female,White,,,Yes,No,Florida,8/23/22,Representative,22,1,100%,,,
Allen Ellison,Male,Black,,,No,No,Florida,8/23/22,Representative,23,"3,960",6%,,,
Michaelangelo Collins Hamilton,Male,Black,Unknown,,No,No,Florida,8/23/22,Representative,23,"1,064",2%,,,
Hava Holzhauer,Female,White,,,No,No,Florida,8/23/22,Representative,23,"5,276",8%,,,
Jared Moskowitz,Male,White,,,No,No,Florida,8/23/22,Representative,23,"38,822",61%,,,
Ben Sorensen,Male,White,,,No,No,Florida,8/23/22,Representative,23,"13,012",20%,,,
"W. Michael ""Mike"" Trout",Male,White,,,No,No,Florida,8/23/22,Representative,23,"1,390",2%,,,
Kevin C. Harris,Male,Black,,,No,Yes,Florida,8/23/22,Representative,24,"6,816",11%,,,
Frederica Wilson,Female,Black,,,Yes,No,Florida,8/23/22,Representative,24,"56,776",89%,,,
Robert Millwee,Male,White,,,No,Yes,Florida,8/23/22,Representative,25,"6,241",11%,,,
Debbie Wasserman Schultz,Female,White,,,Yes,No,Florida,8/23/22,Representative,25,"50,554",89%,,,
Christine Alexandria Olivo,Female,Black (Haitian),,,No,No,Florida,8/23/22,Representative,26,1,100%,,,
Angel Montalvo,Male,Latino,,,No,No,Florida,8/23/22,Representative,27,"2,493",6%,,,
Ken Russell,Male,White,Asian (Japanese),,No,No,Florida,8/23/22,Representative,27,"10,337",26%,,,
Annette Taddeo,Female,Latino (Colombian),,,No,No,Florida,8/23/22,Representative,27,"27,015",68%,,,
Robert Asencio,Male,Latino (Puerto Rican),,,No,No,Florida,8/23/22,Representative,28,"18,504",69%,,,
Juan Paredes,Male,Latino,,,No,No,Florida,8/23/22,Representative,28,"8,217",31%,,,
Charlie Crist,Male,White,,,No,No,Florida,8/23/22,Governor,N/A,"9,04,524",60%,,,
Cadance Daniel,Female,White,,,No,No,Florida,8/23/22,Governor,N/A,"38,198",3%,,,
"Nicole ""Nikki"" Fried",Female,White,,,No,No,Florida,8/23/22,Governor,N/A,"5,35,480",35%,,,
Robert L. Willis,Male,Black,,,No,No,Florida,8/23/22,Governor,N/A,"36,786",2%,,,
Bridget Fleming,Female,White ,,,No,No,New York,8/23/22,Representative,1,1,100%,,,
Jackie Gordon,Female,Black (Jamaican),,,No,No,New York,8/23/22,Representative,2,1,100%,,,
Jon Kaiman,Male,White,,,No,No,New York,8/23/22,Representative,3,"7,242",26%,,,
Robert P. Zimmerman,Male,White,,,No,No,New York,8/23/22,Representative,3,"10,074",36%,,,
Joshua Alexander Lafazan,Male,White,,,No,No,New York,8/23/22,Representative,3,"5,554",20%,,,
Reema Rasool,Female,Asian ,,,No,No,New York,8/23/22,Representative,3,738,3%,,,
Melanie D'Arrigo,Female,White,,,No,No,New York,8/23/22,Representative,3,"4,519",16%,,,
Keith M. Corbett,Male,White,,,No,No,New York,8/23/22,Representative,4,"1,260",10%,,,
Laura A. Gillen,Female,White,,,No,No,New York,8/23/22,Representative,4,"8,002",60%,,,
Muzibul Huq,Male,Middle Eastern,,,No,No,New York,8/23/22,Representative,4,198,1%,,,
Carrie Solages,Male,Black (Haitian),,,No,No,New York,8/23/22,Representative,4,"3,738",28%,,,
Gregory Meeks,Male,Black,,,Yes,No,New York,8/23/22,Representative,5,1,100%,,,
Grace Meng,Female,Asian (Taiwanese),,,Yes,No,New York,8/23/22,Representative,6,1,100%,,,
Paperboy Love Prince,Nonbinary,Black,,,No,Yes,New York,8/23/22,Representative,7,"4,303",16%,,,
Nydia M. Velazquez,Female,Latino (Puerto Rican),,,Yes,No,New York,8/23/22,Representative,7,"22,797",83%,,,
Hakeem S. Jeffries,Male,Black,,,Yes,No,New York,8/23/22,Representative,8,"23,145",87%,,,
Queen Johnson,Female,Black,,,No,Yes,New York,8/23/22,Representative,8,"3,402",13%,,,
Yvette Clarke,Female,Black,,,Yes,No,New York,8/23/22,Representative,9,1,100%,,,
Mondaire L. Jones,Male,Black,,,Yes,No,New York,8/23/22,Representative,10,"12,933",18%,,,
Jo Anne Simon,Female,White,,,No,Yes,New York,8/23/22,Representative,10,"4,389",6%,,,
Peter J. Gleason,Male,Unknown,,,No,Yes,New York,8/23/22,Representative,10,162,0%,,,
Yan Xiong,Male,Asian,,,No,Yes,New York,8/23/22,Representative,10,742,1%,,,
Daniel Goldman,Male,White,,,No,Yes,New York,8/23/22,Representative,10,"18,505",26%,,,
Jimmy Li,Male,Asian,,,No,Yes,New York,8/23/22,Representative,10,"1,170",2%,,,
Maud Maron,Female,White,,,No,Yes,New York,8/23/22,Representative,10,625,1%,,,
Bill De Blasio,Male,White,,,No,Yes,New York,8/23/22,Representative,10,519,1%,,,
Elizabeth Holtzman,Female,White,,,No,Yes,New York,8/23/22,Representative,10,"3,140",4%,,,
Yuh-Line Niou,Female,Asian,,,No,Yes,New York,8/23/22,Representative,10,"16,826",24%,,,
Carlina Rivera,Female,Latino ,,,No,Yes,New York,8/23/22,Representative,10,"11,810",17%,,,
Quanda Francis,Female,Black,,,No,Yes,New York,8/23/22,Representative,10,129,0%,,,
Brian Robinson,Male,White,,,No,Yes,New York,8/23/22,Representative,10,341,0%,,,
Max N. Rose,Male,White,,,No,No,New York,8/23/22,Representative,11,"16,439",74%,,,
Brittany Ramos Debarros,Female,Black,Latino,,No,No,New York,8/23/22,Representative,11,"4,625",21%,,,
Komi Agoda-Koussema,Male,Black,,,No,No,New York,8/23/22,Representative,11,932,4%,,,
Carolyn B. Maloney,Female,White,,,Yes,Yes,New York,8/23/22,Representative,12,"21,916",24%,,,
Ashmi Sheth,Female,Asian (Indian),,,No,Yes,New York,8/23/22,Representative,12,937,1%,,,
Jerrold L. Nadler,Male,White,,,Yes,Yes,New York,8/23/22,Representative,12,"49,744",55%,,,
Suraj Patel,Male,Asian (Indian),,,No,Yes,New York,8/23/22,Representative,12,"17,011",19%,,,
Francisco A. Spies,Male,Latino,,,No,Yes,New York,8/23/22,Representative,13,"2,411",6%,,,
Adriano Espaillat,Male,Latino (Dominican),,,Yes,No,New York,8/23/22,Representative,13,"31,582",80%,,,
Michael Hano,Male,White,,,No,Yes,New York,8/23/22,Representative,13,"5,041",13%,,,
Alexandria Ocasio-Cortez,Female,Latino (Puerto Rican),,,Yes,No,New York,8/23/22,Representative,14,1,100%,,,
Ritchie J. Torres,Male,Black,Latino,,Yes,No,New York,8/23/22,Representative,15,1,100%,,,
Vedat Gashi,Male,White (Kosovar),,,No,Yes,New York,8/23/22,Representative,16,"10,009",25%,,,
Jamaal Bowman,Male,Black,,,Yes,No,New York,8/23/22,Representative,16,"21,643",54%,,,
Catherine F. Parker,Female,White,,,No,Yes,New York,8/23/22,Representative,16,"7,503",19%,,,
Mark Jaffe,Male,White,,,No,Yes,New York,8/23/22,Representative,16,608,2%,,,
Alessandra Biaggi,Female,White,,,No,Yes,New York,8/23/22,Representative,17,"12,266",33%,,,
Sean Patrick Maloney,Male,White,,,Yes,No,New York,8/23/22,Representative,17,"24,535",66%,,,
Pat Ryan,Male,White,,,No,No,New York,8/23/22,Representative,18,"30,093",84%,,,
Moses R. Mugulusi,Male,Black,,,No,No,New York,8/23/22,Representative,18,993,3%,,,
Aisha Mills,Female,Black,,,No,No,New York,8/23/22,Representative,18,"4,730",13%,,,
Jamie Cheney,Female,White,,,No,No,New York,8/23/22,Representative,19,"18,625",37%,,,
Josh Riley,Male,White,,,No,No,New York,8/23/22,Representative,19,"31,193",62%,,,
Rostislav Rar,Male,White (Russian),,,No,Yes,New York,8/23/22,Representative,20,"2,422",12%,,,
Paul D. Tonko,Male,White,,,Yes,No,New York,8/23/22,Representative,20,"18,251",88%,,,
Matt Castelli,Male,White,,,No,No,New York,8/23/22,Representative,21,"19,319",81%,,,
Matt Putorti,Male,White,,,No,No,New York,8/23/22,Representative,21,"4,528",19%,,,
Chol Majok,Male,Black (Sudanese),,,No,No,New York,8/23/22,Representative,22,"3,315",12%,,,
Sam Roberts,Male,Black,,,No,No,New York,8/23/22,Representative,22,"3,662",13%,,,
Sarah Klee Hood,Female,White,,,No,No,New York,8/23/22,Representative,22,"9,790",35%,,,
Francis Conole,Male,White,,,No,No,New York,8/23/22,Representative,22,"10,971",39%,,,
Max H. Della Pia,Male,White,,,No,No,New York,8/23/22,Representative,23,1,100%,,,
Steven Holden,Male,White,,,No,No,New York,8/23/22,Representative,24,1,100%,,,
Joseph D. Morelle,Male,White,,,Yes,No,New York,8/23/22,Representative,25,1,100%,,,
Emin Eddie Egriu,Male,White (Albanian),,,No,Yes,New York,8/23/22,Representative,26,"2,731",9%,,,
Brian Higgins,Male,White,,,Yes,No,New York,8/23/22,Representative,26,"28,485",91%,,,
Richard E. Neal,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,1,"71,928",99%,,,
James P. McGovern,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,2,"69,839",100%,,,
Lori Loureiro Trahan,Female,White,,,Yes,No,Massachusetts,09-06-2022,Representative,3,"64,190",100%,,,
Jake Auchincloss,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,4,"67,738",99%,,,
Katherine M. Clark,Female,White,,,Yes,No,Massachusetts,09-06-2022,Representative,5,"84,845",100%,,,
Seth Moulton,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,6,"84,860",99%,,,
Ayanna S. Pressley,Female,Black,,,Yes,No,Massachusetts,09-06-2022,Representative,7,"69,227",99%,,,
Stephen F. Lynch,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,8,"73,191",99%,,,
Bill Keating,Male,White,,,Yes,No,Massachusetts,09-06-2022,Representative,9,"81,530",100%,,,
Sonia Rosa Chang-Díaz,Female,Asian,Latino,,No,No,Massachusetts,09-06-2022,Governor,N/A,"1,08,574",14%,,,
Maura Healey,Female,White,,,No,No,Massachusetts,09-06-2022,Governor,N/A,"6,42,092",85%,,,
Lisa Blunt Rochester,Female,Black,,,Yes,No,Delaware,9/13/22,Representative,At-Large,1,100%,,,
Maggie Hassan,Female,White,,,Yes,No,New Hampshire,9/13/22,Senator,N/A,"88,146",94%,,,
Paul J. Krautmann,Male,White,,,No,Yes,New Hampshire,9/13/22,Senator,N/A,"3,629",4%,,,
John Riggieri,Male,White,,,No,Yes,New Hampshire,9/13/22,Senator,N/A,"1,680",2%,,,
Chris Pappas,Male,White,,,Yes,No,New Hampshire,9/13/22,Representative,1,"41,990",99%,,,
Ann McLane Kuster,Female,White,,,Yes,No,New Hampshire,9/13/22,Representative,2,"48,630",99%,,,
Tom Sherman,Male,White,,,No,No,New Hampshire,9/13/22,Governor,N/A,"82,607",97%,,,
David N. Cicilline,Male,White,,,Yes,No,Rhode Island,9/13/22,Representative,1,"46,610",100%,,,
Omar Bah,Male,Black (Gambian),,,No,No,Rhode Island,9/13/22,Representative,2,"2,600",5%,,,
Spencer E. Dickinson,Male,White,,,No,No,Rhode Island,9/13/22,Representative,2,"1,318",2%,,,
Joy Fox,Female,White,,,No,No,Rhode Island,9/13/22,Representative,2,"6,112",11%,,,
Seth M. Magaziner,Male,White,,,No,No,Rhode Island,9/13/22,Representative,2,"30,309",54%,,,
Sarah E. Morgenthau,Female,White,,,No,No,Rhode Island,9/13/22,Representative,2,"6,696",12%,,,
David A. Segal,Male,White,,,No,No,Rhode Island,9/13/22,Representative,2,"9,067",16%,,,
